item,day
Stevia powder,166
Coconut oil 500 ml,245
Beans Fruit,7
Beans cleaned,13
Brinjal long,10
Banana Nendra,9
Banana karpura,10
Banana Rasabale,11
Grapes Dilkush,3
Grapes Sharad,4
Grapes Rose,3
Grapes Sonika,5
Mango Langada,10
Mango Dasheri,9
Mango Amarpalli,8
Mango Kesar,5
Tender Coconut,14
Tender Coconut(M),7
Sweet corn seeds,5
Tamrind Chatisghar,8
Bale hoovu(B.flower),5
Letteus Greens,4
Onion flowers,22
Chillies Green,9
Chillies Bajji,6
Chillies Cleaned,13
Chillies small (C.B.P),13
Herali kai,9
Ladys finger,12
Little gourd,13
Lime Local,19
Thogari kai,5
Mango Raw Amblet,5
Mango Raw,5
G.nut oil Rice Bron 1 lt,299
Jukani,7
G. nut oil Rice 1 lt,300
G. nut oil safal deep1 lt,293
Chilakarive green,7
Chillies Bajji yagani,14
Baby corn,5
Leeks,6
Parsley,5
Litchi Juice,5
Cabbage chaina,13
Cabbage Red,8
Cauliflower(M),14
Cauliflower(B),8
Grapes T.S.,5
Orange South Africa,19
Grapes Crimson,3
Apple Fuji chaina,14
Pomegranate,19
Pomegranate Bhagav,23
Rice Bran 5 lt,292
Sungold oil 5 lt,287
Ground nut oil 5 lt,305
Brahmi amla juice,4
Pomegranate Juice,18
N.Juice 200 ml,3
Apple hazarath palli,18
Apple Green smith,17
Orange malt,19
Sweet corn cleaned,8
Sweet corn seeds spok,6
Tomoto,6
Ground nut oil 1 lt,219
G.oil Net rich 500 ml,337
G.nut oil Premium1 lt,175
Eggs,2
Chakota greens,4
Onion pack,26
Potato pack,40
Chikkadikai Round,9
Orange Australia,15
Indian kinora apple,23
South Africa Gala apple,11
Selari,13
Coconut (S),5
Coconut (OS),5
Cabbage,13
BaleDindu (Banana stem),5
Raddish Red,25
Sponge Gourd,13
Snake Gourd,13
Mango Badami,342
Mango Alphans,5
Mango Raspuri,7
Grapes Flame,6
Grapes Krishna sharad,4
Sham gadde,8
Mango rathnagiri(red),11
Mango Alphans box,10
Mango sakkaregutti,11
Tamarind seedless,20
Thinda,7
Pista,350
Dates Arebian,152
Kashini greens,2
Garlic,26
Chain Berry,3
Y.Bananan T.N.,9
Maize,8
Carrot ooty,8
Carrot Delhi,9
Basale Greens,4
Carrot Nati,5
Ground nut Hybrid,7
Ginger,23
Apple Chaina Delicious,10
Menthya Greens,4
Palak Greens,3
Parvala,11
Cherry kashmir,3
Cashew nut,285
Dates,361
Dry dates,263
Pumpkin Japan,12
Potato(M),33
Potato(B),16
Banana chandra,5
Banana Yellaki,5
Banana pachabale,6
Beans Ring,5
Beans Nati,14
Beans,7
Amla,14
Sun safal Tin 15 lt,14
Safal deep 500 ml,5
Tamarind Paste 450 gm,158
Papaya nati,8
Pomegranate Ganesh,19
Pomegranate A.raktha,23
Grapes Dry 100gm,6
Jack fruit,10
Grapes Red globe,3
Grapes Dry 250gm,5
Apple Golden delicious,14
Pumpkin Red,8
Pumpkin Ash,9
Peas Ooty,12
Peas Dharwad,6
Chilles small cleaned (C.B.P),10
Washington gala apple,14
Times Rose berry,5
Cherry fruit,5
Ber fruit/Bore fruit,13
Berry Delhi,4
Mint Leaves,2
Dhantu greens,2
Curry leave,2
Corriander Leave,3
Ground nut Local,14
Double Beans,7
Double Beans seeds,14
Ginger ooty,20
Drumstik,10
Ginger New,32
Coconut (B),9
Coconut (M),8
Cowpea Local,5
Cowpea Long,8
Mineral water 1 lt,9
Garlic cleaned,32
Net rich 5 lt oil,319
Byladha Hannu,6
Arive greens,2
knol-khol,12
Chikadi kai,13
Fruit Juice Tailand,2
Tender Coco packed,12
Tender Coconut(S),13
Orange Ooty,18
Orange Nagpura,20
Orange,17
Sweet corn,8
Spring Onion(Cleaned),29
Spring Onion,42
Apple Washington,19
Apple Newzeland,10
Apple Australia,10
Jumbu juice,2
South Af.red berry,4
Nagapur Orange Economy,12
Tamarind Paste 150 gm,99
Pickles mixed veg,123
Honney 100 gm,13
Gulkan 1/4 kg,124
Snake Gourd(S),12
Gulkan 1/2 kg,170
Gulkan 1 kg,168
Chicco(Sapota),7
Guava,6
Chicco(Sapota) rapined,11
Custerd Apple,21
Apple Chilli,15
Bread fruit,6
Peas seeds,14
Brinjal Mlore,8
Brinjal Bottle,5
Brinjal (R),11
Honney 200 gm,12
Brinjal (W),9
Honney 1 Kg,11
Honney 1/2,13
Apple Economy,16
Apple Simla,12
Apple Delicious,19
Malenian apple,22
Apple Premium,19
Washington red apple,15
Raddish,30
Sweet Potato(Genasu),25
Potato Baby,16
Dry fruit mixed,337
Potato(S),38
Badami,347
Dry apricot,12
Dates seedless,356
Batani kalu,7
Hesaru kalu,8
Molake kalu,8
Rumenia Mango,9
Greens Sabbakki,4
S.mellon Local (Luck),18
Butter fruit,10
Anjura/Fig,6
Bore fruit,12
Copra,289
Chocolates Drink box,120
Fanda,12
Jam 100 gm,150
S.mellon namdhari (Red),22
Mosambi polo,6
Mosambi,14
S.mellon namdhari,15
Watermellon kiran,21
Watermellon,18
Jam 200 gm,115
Jam 1/2 kg,151
Jam 1 kg,118
Tamarind sweet 500gm,36
Rampal,6
Rose apple,16
Pomello/Chakotha,22
Peaches,4
Plum Australia,4
Plum Ooty,6
Indian red globe,5
Onion Big,21
Onion medium,27
Mushroom Oyster,3
Thiland Jelly,4
Thiland Juice,4
Pineapple juice,13
Apple juice,18
Berry Golden,3
Berry Southafrica,4
Baby corn cleaned,8
Rice Bran 15 lt Tin,126
G. nut sungold 1 lt,7
G. nut Golden oil 1 lt,171
Avarebele (F. Beans spok),11
Avarekai (Field Beans ),14
Banana cooking R.Banana,9
Mushroom Milky,2
Mushroom Button,2
Lime Bijapur,22
Kashini (Ganike) Greens,4
Cucumber white,8
Cluster Beans Bunches,11
GrapesAnabi shahi,5
Grapes Blore blue,6
Cluster Bean Local,7
Guava Allahabad(Red),6
Komark fruit,8
Mango Sendura,10
Kiwi fruit,5
Jambo fruit(Nerale),173
Mango mallika,7
Mango malagova,9
Mango Bygan palli,6
Bottle Gourd,9
Bitter Gourd,7
Yam/S.Root,22
Beet Root,9
Banana Rasabale,11
Banana karpura,8
Banana Nendra,7
Brinjal long,10
Beans cleaned,8
Beans Fruit,11
Coconut oil 500 ml,136
Stevia powder,206
Pepper,14
Pineapple,22
Sungold oil 5 lt packet,344
Papaya Taiwan,8
Papaya sola,8
Papaya Red lady,7
Mango,5
Papaya red indian,10
Indian Black globe Grapes,6
Onion small(Economy),19
Peas local,13
Peas Delhi,12
Onion samber,36
Grapesh Tash ganesh,6
Chikkadikai cleaned,12
Orange juice,12
Berry Soft,5
Berry fruit Ooty,3
Berry ball,4
Berry Green,5
mango Pickles,349
Lime Pickles,242
Kakadi,10
Pickles,324
Brucoli,10
Avare seed (FB seeds),8
Cherry Tomoto,8
Cauliflower per Kg,13
Cauliflower(S),13
Capsicum Red/Yellow,6
Capsicum 1,6
Capsicum,9
Mangalore cucumber,6
Cucumber Ooty,5
Cucumber Israle,11
Straw Berry,5
Litchi Taiwan/chaina,4
Litchi Local,5
Mango Neelam,7
Mango kalapadu,6
Mango thotapuri,9
Cucumber Nati,10
Cucumber,5
Chow-Chow,13
Apple Green smith,10
Apple hazarath palli,17
N.Juice 200 ml,4
Pomegranate Juice,21
Brahmi amla juice,2
Ground nut oil 5 lt,219
Sungold oil 5 lt,210
Rice Bran 5 lt,291
Pomegranate Bhagav,11
Pomegranate,12
Apple Fuji chaina,16
Grapes Crimson,5
Orange South Africa,18
Grapes T.S.,6
Cauliflower(B),6
Cauliflower(M),13
Cabbage Red,6
Cabbage chaina,12
Litchi Juice,5
Parsley,10
Leeks,14
Baby corn,8
Chillies Bajji yagani,6
Chilakarive green,5
G. nut oil safal deep1 lt,181
G. nut oil Rice 1 lt,183
Jukani,7
G.nut oil Rice Bron 1 lt,221
Mango Raw,8
Mango Raw Amblet,8
Thogari kai,6
Lime Local,16
Little gourd,14
Ladys finger,9
Herali kai,9
Chillies small (C.B.P),14
Chillies Cleaned,6
Chillies Bajji,10
Chillies Green,13
Onion flowers,19
Letteus Greens,4
Bale hoovu(B.flower),8
Tamrind Chatisghar,10
Sweet corn seeds,11
Tender Coconut(M),5
Tender Coconut,8
Mango Kesar,8
Mango Amarpalli,9
Mango Dasheri,5
Mango Langada,5
Grapes Sonika,3
Grapes Rose,5
Grapes Sharad,3
Grapes Dilkush,6
Mango Raspuri,9
Mango Alphans,10
Mango Badami,338
Snake Gourd,11
Sponge Gourd,10
Raddish Red,33
BaleDindu (Banana stem),6
Cabbage,14
Coconut (OS),11
Coconut (S),9
Selari,12
South Africa Gala apple,18
Indian kinora apple,19
Orange Australia,22
Chikkadikai Round,9
Potato pack,30
Onion pack,16
Chakota greens,4
Eggs,3
G.nut oil Premium1 lt,244
G.oil Net rich 500 ml,218
Ground nut oil 1 lt,199
Tomoto,11
Sweet corn seeds spok,7
Sweet corn cleaned,5
Orange malt,24
Potato(B),19
Potato(M),24
Pumpkin Japan,12
Dry dates,164
Dates,186
Cashew nut,133
Cherry kashmir,4
Parvala,13
Palak Greens,4
Menthya Greens,3
Apple Chaina Delicious,21
Ginger,18
Ground nut Hybrid,10
Carrot Nati,9
Basale Greens,4
Carrot Delhi,5
Carrot ooty,9
Maize,9
Y.Bananan T.N.,7
Chain Berry,3
Garlic,36
Kashini greens,4
Dates Arebian,174
Pista,198
Thinda,6
Tamarind seedless,39
Mango sakkaregutti,11
Mango Alphans box,6
Mango rathnagiri(red),10
Sham gadde,12
Grapes Krishna sharad,5
Grapes Flame,4
Spring Onion,22
Spring Onion(Cleaned),40
Sweet corn,8
Orange,13
Orange Nagpura,10
Orange Ooty,22
Tender Coconut(S),5
Tender Coco packed,8
Fruit Juice Tailand,3
Chikadi kai,12
knol-khol,9
Arive greens,4
Byladha Hannu,5
Net rich 5 lt oil,227
Garlic cleaned,39
Mineral water 1 lt,5
Cowpea Long,11
Cowpea Local,10
Coconut (M),8
Coconut (B),9
Ginger New,41
Drumstik,14
Ginger ooty,31
Double Beans seeds,7
Double Beans,7
Ground nut Local,10
Corriander Leave,2
Curry leave,3
Dhantu greens,3
Mint Leaves,4
Berry Delhi,6
Ber fruit/Bore fruit,8
Cherry fruit,3
Times Rose berry,5
Washington gala apple,23
Chilles small cleaned (C.B.P),8
Peas Dharwad,6
Peas Ooty,14
Pumpkin Ash,9
Pumpkin Red,6
Apple Golden delicious,16
Grapes Dry 250gm,6
Grapes Red globe,4
Jack fruit,10
Grapes Dry 100gm,6
Pomegranate A.raktha,13
Pomegranate Ganesh,10
Papaya nati,7
Tamarind Paste 450 gm,123
Safal deep 500 ml,8
Sun safal Tin 15 lt,14
Amla,7
Beans,8
Beans Nati,11
Beans Ring,9
Banana pachabale,5
Banana Yellaki,8
Banana chandra,7
Honney 1/2,9
Honney 1 Kg,5
Brinjal (W),6
Honney 200 gm,13
Brinjal (R),11
Brinjal Bottle,10
Brinjal Mlore,6
Peas seeds,10
Bread fruit,14
Apple Chilli,18
Custerd Apple,10
Chicco(Sapota) rapined,6
Guava,9
Chicco(Sapota),6
Gulkan 1 kg,176
Gulkan 1/2 kg,179
Snake Gourd(S),8
Gulkan 1/4 kg,102
Honney 100 gm,9
Pickles mixed veg,267
Tamarind Paste 150 gm,178
Nagapur Orange Economy,24
South Af.red berry,6
Jumbu juice,4
Apple Australia,13
Apple Newzeland,11
Apple Washington,18
Malenian apple,13
Plum Ooty,3
Plum Australia,3
Peaches,4
Pomello/Chakotha,14
Rose apple,14
Rampal,11
Tamarind sweet 500gm,43
Jam 1 kg,94
Jam 1/2 kg,104
Jam 200 gm,118
Watermellon,20
Watermellon kiran,21
S.mellon namdhari,19
Mosambi,6
Mosambi polo,12
S.mellon namdhari (Red),13
Jam 100 gm,120
Fanda,7
Chocolates Drink box,178
Copra,273
Bore fruit,12
Anjura/Fig,6
Butter fruit,13
S.mellon Local (Luck),21
Greens Sabbakki,4
Rumenia Mango,7
Molake kalu,11
Hesaru kalu,8
Batani kalu,5
Dates seedless,186
Dry apricot,8
Badami,216
Potato(S),35
Dry fruit mixed,192
Potato Baby,44
Sweet Potato(Genasu),32
Raddish,23
Washington red apple,21
Apple Premium,14
Apple Delicious,19
Apple Simla,24
Apple Economy,18
Beet Root,14
Yam/S.Root,17
Bitter Gourd,7
Bottle Gourd,5
Mango Bygan palli,11
Mango malagova,11
Mango mallika,11
Jambo fruit(Nerale),110
Kiwi fruit,6
Mango Sendura,11
Komark fruit,7
Guava Allahabad(Red),10
Cluster Bean Local,12
Grapes Blore blue,3
GrapesAnabi shahi,6
Cluster Beans Bunches,5
Cucumber white,5
Kashini (Ganike) Greens,4
Lime Bijapur,19
Mushroom Button,3
Mushroom Milky,2
Banana cooking R.Banana,8
Avarekai (Field Beans ),10
Avarebele (F. Beans spok),9
G. nut Golden oil 1 lt,264
G. nut sungold 1 lt,10
Rice Bran 15 lt Tin,245
Baby corn cleaned,8
Berry Southafrica,4
Berry Golden,5
Apple juice,18
Pineapple juice,11
Thiland Juice,2
Thiland Jelly,4
Mushroom Oyster,3
Onion medium,24
Onion Big,18
Indian red globe,12
Chow-Chow,11
Cucumber,7
Cucumber Nati,9
Mango thotapuri,7
Mango kalapadu,5
Mango Neelam,5
Litchi Local,6
Litchi Taiwan/chaina,3
Straw Berry,6
Cucumber Israle,5
Cucumber Ooty,8
Mangalore cucumber,9
Capsicum,8
Capsicum 1,5
Capsicum Red/Yellow,7
Cauliflower(S),10
Cauliflower per Kg,13
Cherry Tomoto,10
Avare seed (FB seeds),12
Brucoli,11
Pickles,199
Kakadi,10
Lime Pickles,167
mango Pickles,242
Berry Green,6
Berry ball,4
Berry fruit Ooty,3
Berry Soft,4
Orange juice,15
Chikkadikai cleaned,6
Grapesh Tash ganesh,6
Onion samber,26
Peas Delhi,14
Peas local,8
Onion small(Economy),39
Indian Black globe Grapes,6
Papaya red indian,10
Mango,6
Papaya Red lady,11
Papaya sola,5
Papaya Taiwan,9
Sungold oil 5 lt packet,334
Pineapple,11
Pepper,13
Stevia powder,257
Coconut oil 500 ml,264
Beans Fruit,5
Beans cleaned,14
Brinjal long,8
Banana Nendra,5
Banana karpura,5
Banana Rasabale,5
Grapes Dilkush,5
Grapes Sharad,6
Grapes Rose,5
Grapes Sonika,3
Mango Langada,9
Mango Dasheri,9
Mango Amarpalli,6
Mango Kesar,8
Tender Coconut,11
Tender Coconut(M),5
Sweet corn seeds,5
Tamrind Chatisghar,5
Bale hoovu(B.flower),6
Letteus Greens,2
Onion flowers,19
Chillies Green,8
Chillies Bajji,7
Chillies Cleaned,9
Chillies small (C.B.P),12
Herali kai,12
Ladys finger,14
Little gourd,10
Lime Local,12
Thogari kai,9
Mango Raw Amblet,10
Mango Raw,5
G.nut oil Rice Bron 1 lt,186
Jukani,10
G. nut oil Rice 1 lt,215
G. nut oil safal deep1 lt,328
Chilakarive green,10
Chillies Bajji yagani,11
Baby corn,11
Leeks,11
Parsley,11
Litchi Juice,3
Cabbage chaina,8
Cabbage Red,11
Cauliflower(M),8
Cauliflower(B),6
Grapes T.S.,3
Orange South Africa,11
Grapes Crimson,4
Apple Fuji chaina,22
Pomegranate,20
Pomegranate Bhagav,18
Rice Bran 5 lt,128
Sungold oil 5 lt,228
Ground nut oil 5 lt,289
Brahmi amla juice,2
Pomegranate Juice,11
N.Juice 200 ml,2
Apple hazarath palli,11
Apple Green smith,24
Orange malt,16
Sweet corn cleaned,5
Sweet corn seeds spok,7
Tomoto,11
Ground nut oil 1 lt,354
G.oil Net rich 500 ml,184
G.nut oil Premium1 lt,288
Eggs,3
Chakota greens,4
Onion pack,25
Potato pack,36
Chikkadikai Round,10
Orange Australia,24
Indian kinora apple,15
South Africa Gala apple,19
Selari,10
Coconut (S),7
Coconut (OS),11
Cabbage,10
BaleDindu (Banana stem),10
Raddish Red,42
Sponge Gourd,6
Snake Gourd,7
Mango Badami,253
Mango Alphans,11
Mango Raspuri,10
Grapes Flame,5
Grapes Krishna sharad,3
Sham gadde,9
Mango rathnagiri(red),11
Mango Alphans box,10
Mango sakkaregutti,6
Tamarind seedless,21
Thinda,10
Pista,220
Dates Arebian,347
Kashini greens,4
Garlic,26
Chain Berry,4
Y.Bananan T.N.,8
Maize,10
Carrot ooty,6
Carrot Delhi,7
Basale Greens,3
Carrot Nati,6
Ground nut Hybrid,14
Ginger,31
Apple Chaina Delicious,21
Menthya Greens,4
Palak Greens,3
Parvala,14
Cherry kashmir,3
Cashew nut,235
Dates,157
Dry dates,336
Pumpkin Japan,9
Potato(M),34
Potato(B),42
Banana chandra,9
Banana Yellaki,9
Banana pachabale,9
Beans Ring,11
Beans Nati,6
Beans,9
Amla,11
Sun safal Tin 15 lt,5
Safal deep 500 ml,8
Tamarind Paste 450 gm,121
Papaya nati,11
Pomegranate Ganesh,12
Pomegranate A.raktha,11
Grapes Dry 100gm,3
Jack fruit,12
Grapes Red globe,3
Grapes Dry 250gm,6
Apple Golden delicious,11
Pumpkin Red,5
Pumpkin Ash,11
Peas Ooty,8
Peas Dharwad,14
Chilles small cleaned (C.B.P),6
Washington gala apple,21
Times Rose berry,4
Cherry fruit,6
Ber fruit/Bore fruit,7
Berry Delhi,5
Mint Leaves,4
Dhantu greens,2
Curry leave,4
Corriander Leave,2
Ground nut Local,9
Double Beans,10
Double Beans seeds,6
Ginger ooty,22
Drumstik,8
Ginger New,36
Coconut (B),5
Coconut (M),9
Cowpea Local,14
Cowpea Long,13
Mineral water 1 lt,10
Garlic cleaned,43
Net rich 5 lt oil,298
Byladha Hannu,14
Arive greens,3
knol-khol,13
Chikadi kai,5
Fruit Juice Tailand,4
Tender Coco packed,6
Tender Coconut(S),6
Orange Ooty,15
Orange Nagpura,15
Orange,11
Sweet corn,8
Spring Onion(Cleaned),25
Spring Onion,41
Malenian apple,21
Apple Washington,18
Apple Newzeland,20
Apple Australia,18
Jumbu juice,4
South Af.red berry,5
Nagapur Orange Economy,14
Tamarind Paste 150 gm,135
Pickles mixed veg,137
Honney 100 gm,6
Gulkan 1/4 kg,178
Snake Gourd(S),9
Gulkan 1/2 kg,127
Gulkan 1 kg,108
Chicco(Sapota),8
Guava,10
Chicco(Sapota) rapined,7
Custerd Apple,23
Apple Chilli,21
Bread fruit,13
Peas seeds,11
Brinjal Mlore,5
Brinjal Bottle,8
Brinjal (R),11
Honney 200 gm,11
Brinjal (W),11
Honney 1 Kg,12
Honney 1/2,12
Apple Economy,17
Apple Simla,21
Apple Delicious,18
Apple Premium,13
Washington red apple,23
Raddish,39
Sweet Potato(Genasu),44
Potato Baby,22
Dry fruit mixed,143
Potato(S),31
Badami,272
Dry apricot,9
Dates seedless,190
Batani kalu,5
Hesaru kalu,11
Molake kalu,9
Rumenia Mango,5
Greens Sabbakki,2
S.mellon Local (Luck),10
Butter fruit,9
Anjura/Fig,3
Bore fruit,5
Copra,306
Chocolates Drink box,134
Fanda,12
Jam 100 gm,169
S.mellon namdhari (Red),14
Mosambi polo,6
Mosambi,9
S.mellon namdhari,10
Watermellon kiran,10
Watermellon,18
Jam 200 gm,117
Jam 1/2 kg,115
Jam 1 kg,125
Tamarind sweet 500gm,30
Rampal,10
Rose apple,16
Pomello/Chakotha,17
Peaches,4
Plum Australia,5
Plum Ooty,6
Indian red globe,5
Onion Big,31
Onion medium,23
Mushroom Oyster,3
Thiland Jelly,2
Thiland Juice,4
Pineapple juice,19
Apple juice,19
Berry Golden,4
Berry Southafrica,5
Baby corn cleaned,5
Rice Bran 15 lt Tin,323
G. nut sungold 1 lt,6
G. nut Golden oil 1 lt,258
Avarebele (F. Beans spok),10
Avarekai (Field Beans ),11
Banana cooking R.Banana,5
Mushroom Milky,2
Mushroom Button,3
Lime Bijapur,11
Kashini (Ganike) Greens,4
Cucumber white,10
Cluster Beans Bunches,9
GrapesAnabi shahi,3
Grapes Blore blue,6
Cluster Bean Local,5
Guava Allahabad(Red),5
Komark fruit,12
Mango Sendura,6
Kiwi fruit,3
Jambo fruit(Nerale),119
Mango mallika,7
Mango malagova,8
Mango Bygan palli,8
Bottle Gourd,7
Bitter Gourd,13
Yam/S.Root,19
Beet Root,11
Banana Rasabale,5
Banana karpura,8
Banana Nendra,9
Brinjal long,9
Beans cleaned,7
Beans Fruit,10
Coconut oil 500 ml,303
Stevia powder,129
Pepper,11
Pineapple,22
Sungold oil 5 lt packet,300
Papaya Taiwan,11
Papaya sola,5
Papaya Red lady,10
Mango,8
Papaya red indian,11
Indian Black globe Grapes,6
Onion small(Economy),20
Peas local,8
Peas Delhi,14
Onion samber,22
Grapesh Tash ganesh,6
Chikkadikai cleaned,14
Orange juice,14
Berry Soft,4
Berry fruit Ooty,5
Berry ball,5
Berry Green,3
mango Pickles,255
Lime Pickles,244
Kakadi,7
Pickles,162
Brucoli,11
Avare seed (FB seeds),8
Cherry Tomoto,8
Cauliflower per Kg,9
Cauliflower(S),10
Capsicum Red/Yellow,8
Capsicum 1,7
Capsicum,8
Mangalore cucumber,10
Cucumber Ooty,9
Cucumber Israle,7
Straw Berry,6
Litchi Taiwan/chaina,3
Litchi Local,3
Mango Neelam,6
Mango kalapadu,8
Mango thotapuri,8
Cucumber Nati,8
Cucumber,8
Chow-Chow,7
Apple Green smith,10
Apple hazarath palli,22
N.Juice 200 ml,3
Pomegranate Juice,13
Brahmi amla juice,3
Ground nut oil 5 lt,185
Sungold oil 5 lt,243
Rice Bran 5 lt,354
Pomegranate Bhagav,19
Pomegranate,10
Apple Fuji chaina,24
Grapes Crimson,5
Orange South Africa,20
Grapes T.S.,4
Cauliflower(B),13
Cauliflower(M),11
Cabbage Red,11
Cabbage chaina,9
Litchi Juice,6
Parsley,14
Leeks,12
Baby corn,12
Chillies Bajji yagani,7
Chilakarive green,8
G. nut oil safal deep1 lt,132
G. nut oil Rice 1 lt,187
Jukani,8
G.nut oil Rice Bron 1 lt,311
Mango Raw,10
Mango Raw Amblet,10
Thogari kai,14
Lime Local,21
Little gourd,7
Ladys finger,11
Herali kai,14
Chillies small (C.B.P),14
Chillies Cleaned,7
Chillies Bajji,13
Chillies Green,5
Onion flowers,37
Letteus Greens,4
Bale hoovu(B.flower),5
Tamrind Chatisghar,6
Sweet corn seeds,5
Tender Coconut(M),6
Tender Coconut,5
Mango Kesar,8
Mango Amarpalli,10
Mango Dasheri,9
Mango Langada,7
Grapes Sonika,5
Grapes Rose,6
Grapes Sharad,6
Grapes Dilkush,5
Mango Raspuri,9
Mango Alphans,10
Mango Badami,263
Snake Gourd,14
Sponge Gourd,11
Raddish Red,43
BaleDindu (Banana stem),7
Cabbage,13
Coconut (OS),9
Coconut (S),9
Selari,5
South Africa Gala apple,17
Indian kinora apple,23
Orange Australia,19
Chikkadikai Round,9
Potato pack,42
Onion pack,43
Chakota greens,4
Eggs,3
G.nut oil Premium1 lt,155
G.oil Net rich 500 ml,343
Ground nut oil 1 lt,296
Tomoto,5
Sweet corn seeds spok,6
Sweet corn cleaned,5
Orange malt,11
Potato(B),36
Potato(M),20
Pumpkin Japan,9
Dry dates,314
Dates,151
Cashew nut,304
Cherry kashmir,5
Parvala,8
Palak Greens,3
Menthya Greens,2
Apple Chaina Delicious,12
Ginger,43
Ground nut Hybrid,7
Carrot Nati,7
Basale Greens,3
Carrot Delhi,7
Carrot ooty,7
Maize,9
Y.Bananan T.N.,11
Chain Berry,3
Garlic,19
Kashini greens,3
Dates Arebian,184
Pista,267
Thinda,6
Tamarind seedless,35
Mango sakkaregutti,8
Mango Alphans box,10
Mango rathnagiri(red),7
Sham gadde,8
Grapes Krishna sharad,6
Grapes Flame,4
Spring Onion,37
Spring Onion(Cleaned),44
Sweet corn,5
Orange,12
Orange Nagpura,13
Orange Ooty,17
Tender Coconut(S),12
Tender Coco packed,7
Fruit Juice Tailand,4
Chikadi kai,12
knol-khol,12
Arive greens,3
Byladha Hannu,8
Net rich 5 lt oil,239
Garlic cleaned,40
Mineral water 1 lt,8
Cowpea Long,11
Cowpea Local,10
Coconut (M),13
Coconut (B),5
Ginger New,25
Drumstik,8
Ginger ooty,37
Double Beans seeds,5
Double Beans,5
Ground nut Local,10
Corriander Leave,4
Curry leave,4
Dhantu greens,3
Mint Leaves,4
Berry Delhi,4
Ber fruit/Bore fruit,7
Cherry fruit,5
Times Rose berry,6
Washington gala apple,18
Chilles small cleaned (C.B.P),7
Peas Dharwad,14
Peas Ooty,11
Pumpkin Ash,7
Pumpkin Red,8
Apple Golden delicious,18
Grapes Dry 250gm,3
Grapes Red globe,4
Jack fruit,7
Grapes Dry 100gm,6
Pomegranate A.raktha,18
Pomegranate Ganesh,18
Papaya nati,5
Tamarind Paste 450 gm,141
Safal deep 500 ml,13
Sun safal Tin 15 lt,7
Amla,13
Beans,6
Beans Nati,6
Beans Ring,12
Banana pachabale,6
Banana Yellaki,10
Banana chandra,9
Honney 1/2,13
Honney 1 Kg,8
Brinjal (W),5
Honney 200 gm,5
Brinjal (R),11
Brinjal Bottle,10
Brinjal Mlore,9
Peas seeds,13
Bread fruit,10
Apple Chilli,15
Custerd Apple,22
Chicco(Sapota) rapined,9
Guava,6
Chicco(Sapota),5
Gulkan 1 kg,94
Gulkan 1/2 kg,106
Snake Gourd(S),10
Gulkan 1/4 kg,148
Honney 100 gm,13
Pickles mixed veg,359
Tamarind Paste 150 gm,112
Nagapur Orange Economy,16
South Af.red berry,3
Jumbu juice,4
Apple Australia,15
Apple Newzeland,15
Apple Washington,18
Malenian apple,24
Plum Ooty,4
Plum Australia,5
Peaches,5
Pomello/Chakotha,12
Rose apple,18
Rampal,10
Tamarind sweet 500gm,41
Jam 1 kg,109
Jam 1/2 kg,107
Jam 200 gm,130
Watermellon,15
Watermellon kiran,12
S.mellon namdhari,18
Mosambi,12
Mosambi polo,5
S.mellon namdhari (Red),10
Jam 100 gm,149
Fanda,8
Chocolates Drink box,144
Copra,273
Bore fruit,9
Anjura/Fig,4
Butter fruit,5
S.mellon Local (Luck),22
Greens Sabbakki,4
Rumenia Mango,6
Molake kalu,8
Hesaru kalu,12
Batani kalu,10
Dates seedless,274
Dry apricot,11
Badami,262
Potato(S),28
Dry fruit mixed,248
Potato Baby,34
Sweet Potato(Genasu),44
Raddish,23
Washington red apple,19
Apple Premium,21
Apple Delicious,10
Apple Simla,11
Apple Economy,23
Beet Root,6
Yam/S.Root,21
Bitter Gourd,7
Bottle Gourd,10
Mango Bygan palli,10
Mango malagova,5
Mango mallika,8
Jambo fruit(Nerale),140
Kiwi fruit,6
Mango Sendura,11
Komark fruit,9
Guava Allahabad(Red),5
Cluster Bean Local,11
Grapes Blore blue,6
GrapesAnabi shahi,6
Cluster Beans Bunches,9
Cucumber white,6
Kashini (Ganike) Greens,3
Lime Bijapur,12
Mushroom Button,3
Mushroom Milky,2
Banana cooking R.Banana,5
Avarekai (Field Beans ),9
Avarebele (F. Beans spok),7
G. nut Golden oil 1 lt,178
G. nut sungold 1 lt,11
Rice Bran 15 lt Tin,264
Baby corn cleaned,13
Berry Southafrica,3
Berry Golden,3
Apple juice,10
Pineapple juice,13
Thiland Juice,3
Thiland Jelly,2
Mushroom Oyster,2
Onion medium,32
Onion Big,30
Indian red globe,10
Chow-Chow,5
Cucumber,8
Cucumber Nati,8
Mango thotapuri,10
Mango kalapadu,8
Mango Neelam,9
Litchi Local,3
Litchi Taiwan/chaina,4
Straw Berry,6
Cucumber Israle,8
Cucumber Ooty,11
Mangalore cucumber,11
Capsicum,6
Capsicum 1,7
Capsicum Red/Yellow,6
Cauliflower(S),14
Cauliflower per Kg,13
Cherry Tomoto,7
Avare seed (FB seeds),13
Brucoli,5
Pickles,122
Kakadi,11
Lime Pickles,361
mango Pickles,200
Berry Green,3
Berry ball,6
Berry fruit Ooty,5
Berry Soft,5
Orange juice,12
Chikkadikai cleaned,6
